iter	Passed	Remaining
0	3	3081
1	5	2949
2	9	3171
3	12	3135
4	15	3092
5	18	3051
6	21	3029
7	24	3026
8	27	3020
9	30	3028
10	33	3025
11	36	3020
12	39	3006
13	42	3003
14	47	3095
15	51	3166
16	54	3140
17	57	3144
18	60	3130
19	63	3129
20	67	3144
21	70	3126
22	73	3112
23	76	3097
24	79	3091
25	82	3078
26	85	3066
27	88	3065
28	91	3069
29	94	3058
30	97	3049
31	100	3044
32	103	3034
33	106	3031
34	109	3029
35	112	3019
36	115	3012
37	118	3004
38	121	2996
39	124	2990
40	127	2979
41	130	2972
42	133	2964
43	136	2961
44	139	2951
45	142	2947
46	144	2937
47	147	2928
48	150	2922
49	153	2914
50	156	2909
51	159	2908
52	162	2904
53	165	2902
54	168	2896
55	171	2891
56	174	2888
57	177	2889
58	181	2887
59	184	2883
60	187	2882
61	191	2897
62	194	2893
63	197	2885
64	200	2881
65	203	2874
66	205	2868
67	208	2860
68	211	2859
69	214	2855
70	217	2848
71	220	2844
72	223	2841
73	226	2839
74	229	2835
75	232	2831
76	235	2826
77	239	2825
78	242	2822
79	245	2819
80	248	2814
81	250	2809
82	255	2817
83	258	2817
84	261	2812
85	264	2808
86	267	2805
87	270	2800
88	273	2796
89	276	2793
90	280	2805
91	283	2801
92	286	2797
93	289	2792
94	292	2787
95	295	2784
96	298	2779
97	301	2775
98	304	2772
99	307	2767
100	310	2765
101	314	2772
102	318	2773
103	321	2772
104	325	2770
105	328	2768
106	331	2767
107	334	2764
108	337	2761
109	340	2758
110	344	2756
111	347	2751
112	349	2746
113	352	2742
114	355	2738
115	359	2736
116	362	2732
117	364	2727
118	367	2723
119	371	2720
120	374	2717
121	377	2715
122	380	2712
123	383	2711
124	387	2710
125	390	2711
126	393	2708
127	396	2703
128	399	2700
129	402	2695
130	405	2693
131	409	2692
132	413	2693
133	416	2690
134	420	2692
135	423	2693
136	427	2692
137	430	2691
138	434	2689
139	437	2686
140	440	2685
141	444	2684
142	447	2682
143	451	2681
144	454	2679
145	457	2677
146	460	2674
147	464	2672
148	467	2669
149	470	2667
150	474	2667
151	477	2665
152	480	2661
153	483	2658
154	487	2656
155	490	2653
156	493	2650
157	496	2647
158	500	2645
159	503	2642
160	506	2640
161	509	2637
162	513	2635
163	516	2632
164	519	2628
165	522	2626
166	526	2624
167	529	2621
168	532	2618
169	535	2615
170	538	2611
171	541	2608
172	544	2604
173	547	2600
174	550	2597
175	554	2594
176	557	2590
177	560	2586
178	563	2584
179	566	2579
180	569	2576
181	572	2572
182	575	2568
183	578	2563
184	581	2560
185	584	2555
186	587	2553
187	590	2549
188	593	2545
189	596	2541
190	599	2538
191	603	2541
192	608	2543
193	611	2539
194	614	2535
195	617	2532
196	620	2528
197	623	2524
198	626	2521
199	629	2517
200	632	2513
201	635	2511
202	638	2507
203	641	2503
204	644	2500
205	648	2497
206	651	2495
207	654	2491
208	657	2489
209	660	2486
210	664	2483
211	667	2481
212	670	2478
213	673	2474
214	676	2470
215	679	2467
216	682	2463
217	685	2459
218	688	2456
219	691	2452
220	694	2449
221	698	2446
222	701	2443
223	704	2441
224	708	2438
225	711	2435
226	714	2433
227	718	2432
228	721	2428
229	724	2425
230	727	2421
231	730	2418
232	733	2414
233	736	2410
234	739	2407
235	742	2403
236	745	2399
237	748	2395
238	751	2391
239	753	2387
240	757	2384
241	760	2382
242	764	2380
243	767	2377
244	770	2375
245	773	2371
246	776	2368
247	779	2364
248	782	2360
249	786	2360
250	789	2357
251	793	2354
252	796	2350
253	799	2347
254	802	2343
255	805	2339
256	809	2340
257	813	2339
258	817	2339
259	820	2335
260	823	2332
261	827	2332
262	831	2329
263	835	2328
264	838	2325
265	841	2321
266	844	2317
267	847	2313
268	850	2310
269	853	2307
270	856	2303
271	859	2301
272	863	2298
273	866	2294
274	869	2292
275	872	2289
276	875	2285
277	878	2281
278	881	2278
279	884	2275
280	887	2271
281	890	2268
282	894	2265
283	897	2261
284	900	2260
285	905	2260
286	908	2257
287	911	2253
288	914	2250
289	917	2246
290	920	2243
291	923	2239
292	926	2236
293	929	2232
294	932	2229
295	935	2225
296	939	2222
297	942	2219
298	945	2216
299	948	2213
300	952	2211
301	955	2208
302	959	2206
303	962	2203
304	966	2201
305	970	2200
306	974	2199
307	977	2195
308	980	2191
309	983	2188
310	986	2186
311	989	2182
312	993	2179
313	996	2176
314	999	2172
315	1002	2169
316	1006	2167
317	1009	2164
318	1011	2160
319	1015	2156
320	1018	2153
321	1021	2150
322	1024	2146
323	1028	2145
324	1031	2142
325	1034	2138
326	1039	2138
327	1042	2135
328	1045	2131
329	1047	2127
330	1050	2123
331	1053	2120
332	1057	2117
333	1059	2113
334	1063	2110
335	1065	2106
336	1068	2103
337	1071	2098
338	1074	2095
339	1077	2091
340	1081	2089
341	1084	2087
342	1087	2083
343	1091	2080
344	1094	2077
345	1099	2077
346	1102	2075
347	1106	2072
348	1109	2069
349	1113	2067
350	1116	2064
351	1119	2061
352	1122	2057
353	1125	2054
354	1128	2050
355	1132	2047
356	1135	2045
357	1138	2041
358	1141	2038
359	1145	2035
360	1149	2033
361	1152	2030
362	1155	2027
363	1158	2024
364	1161	2020
365	1164	2017
366	1167	2014
367	1170	2010
368	1173	2006
369	1176	2003
370	1179	2000
371	1182	1996
372	1185	1993
373	1188	1989
374	1191	1985
375	1194	1982
376	1198	1980
377	1201	1977
378	1205	1974
